Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,PoolQC,SaleType,SaleCondition,SalePrice,month+year,totalbath,Totalsqft,Age,YearsSinceRemodel,IsNewHouse
11,20,RL,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,GasA,Ex,Y,SBrkr,1040,TA,5,Typ,0,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,,WD,Normal,129500,2.2008,2.0,2080.0,43,43,False
12,60,RL,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,GasA,Ex,Y,SBrkr,2324,Ex,11,Typ,2,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,21,,New,Partial,345000,7.2006,4.0,3499.0,1,0,True
13,20,RL,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,Plywood,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,GasA,TA,Y,SBrkr,912,TA,4,Typ,0,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,0,,WD,Normal,144000,9.2008,2.0,1824.0,46,46,False
14,20,RL,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,GasA,Ex,Y,SBrkr,1494,Gd,7,Typ,1,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,33,,New,Partial,279500,8.2007,2.0,2988.0,1,0,True
15,20,RL,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,GasA,TA,Y,SBrkr,1253,TA,5,Typ,1,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,213,,WD,Normal,157000,5.2008,2.5,2506.0,48,48,False
16,45,RM,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,GasA,Ex,Y,FuseA,854,TA,5,Typ,0,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,112,,WD,Normal,132000,7.2007,1.0,1686.0,78,6,False
17,20,RL,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,GasA,Ex,Y,SBrkr,1004,TA,5,Typ,1,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,0,,WD,Normal,149000,3.2010,2.0,2008.0,40,40,False
18,90,RL,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,Slab,,,,,0,,0,0,GasA,TA,Y,SBrkr,1296,TA,6,Typ,0,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,0,,WD,Normal,90000,10.2006,2.0,1296.0,39,39,False
19,20,RL,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,GasA,Ex,Y,SBrkr,1114,Gd,6,Typ,0,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,102,,WD,Normal,159000,6.2008,2.5,2228.0,4,4,True
20,20,RL,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,GasA,TA,Y,SBrkr,1339,TA,6,Min1,0,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0,,COD,Abnorml,139000,5.2009,1.0,2368.0,51,44,False
21,60,RL,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,GasA,Ex,Y,SBrkr,2376,Gd,9,Typ,1,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,154,,New,Partial,325300,11.2006,3.5,3534.0,1,0,True
22,45,RM,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,GasA,Ex,Y,FuseF,1108,Gd,6,Typ,1,Attchd,1930.0,Unf,1,280,TA,TA,N,0,0,,WD,Normal,139400,6.2007,1.0,1745.0,77,57,False
23,20,RL,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,GasA,Ex,Y,SBrkr,1795,Gd,7,Typ,1,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,159,,WD,Normal,230000,9.2008,2.0,3572.0,6,6,False
24,120,RM,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,GasA,TA,Y,SBrkr,1060,TA,6,Typ,1,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,110,,WD,Normal,129900,6.2007,2.0,2100.0,31,31,False
25,20,RL,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,Plywood,Plywood,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,GasA,Ex,Y,SBrkr,1060,Gd,6,Typ,1,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,90,,WD,Normal,154000,5.2010,2.0,2120.0,42,9,False
26,20,RL,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,GasA,Ex,Y,SBrkr,1600,Gd,7,Typ,1,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,56,,WD,Normal,256300,7.2009,2.0,3166.0,2,2,True
27,20,RL,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,GasA,TA,Y,SBrkr,900,Gd,5,Typ,0,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,32,,WD,Normal,134800,5.2010,1.6,1800.0,59,10,False
28,20,RL,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,GasA,Ex,Y,SBrkr,1704,Gd,7,Typ,1,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,50,,WD,Normal,306000,5.2010,3.0,3408.0,3,2,True
29,20,RL,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,GasA,TA,Y,SBrkr,1600,TA,6,Typ,2,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,258,,WD,Normal,207500,12.2006,2.0,3084.0,49,9,False
30,30,RM,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,GasA,Fa,N,SBrkr,520,Fa,4,Typ,0,Detchd,1920.0,Unf,1,240,Fa,TA,Y,49,0,,WD,Normal,68500,5.2008,1.0,1040.0,81,58,False
31,70,C (all),8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,Gambrel,CompShg,BrkFace,BrkFace,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,GasA,TA,N,SBrkr,1317,TA,6,Typ,0,Detchd,1920.0,Unf,1,250,TA,Fa,N,0,54,,WD,Normal,40000,7.2008,1.0,1966.0,88,58,False
32,20,RL,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,GasA,Gd,Y,SBrkr,1228,Gd,6,Typ,0,Attchd,1966.0,Unf,1,271,TA,TA,Y,0,65,,WD,Normal,149350,6.2008,1.5,2456.0,42,2,False
33,20,RL,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,GasA,Ex,Y,SBrkr,1234,Gd,7,Typ,0,Attchd,2007.0,RFn,2,484,TA,TA,Y,0,30,,WD,Normal,179900,1.2008,2.0,2468.0,1,1,True
34,20,RL,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,GasA,Gd,Y,SBrkr,1700,Gd,6,Typ,1,Attchd,1959.0,RFn,2,447,TA,TA,Y,0,38,,WD,Normal,165500,4.2010,2.1,3098.0,51,51,False
35,120,RL,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,GasA,Ex,Y,SBrkr,1561,Ex,6,Typ,1,Attchd,2005.0,Fin,2,556,TA,TA,Y,203,47,,WD,Normal,277500,8.2007,3.0,3122.0,2,2,True
36,60,RL,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,GasA,Ex,Y,SBrkr,2452,Gd,9,Typ,1,BuiltIn,2004.0,Fin,3,691,TA,TA,Y,113,32,,WD,Normal,309000,9.2006,3.5,3569.0,2,1,True
37,20,RL,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,GasA,Ex,Y,SBrkr,1097,TA,6,Typ,0,Attchd,1995.0,Unf,2,672,TA,TA,Y,392,64,,WD,Normal,145000,6.2009,1.5,2194.0,15,14,False
38,20,RL,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,GasA,Gd,Y,SBrkr,1297,TA,5,Typ,1,Attchd,1954.0,Fin,2,498,TA,TA,Y,0,0,,WD,Normal,153000,10.2009,1.6,2594.0,55,19,False
39,20,RL,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,GasA,TA,Y,SBrkr,1057,Gd,5,Typ,0,Detchd,1953.0,Unf,1,246,TA,TA,Y,0,52,,WD,Abnorml,109000,1.2010,2.0,2114.0,57,3,False
40,90,RL,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,AsbShng,Plywood,0.0,TA,TA,PConc,,,,,0,,0,0,GasA,TA,N,FuseP,1152,Fa,6,Typ,0,,,,0,0,,,N,0,0,,WD,AdjLand,82000,6.2008,2.0,1152.0,53,53,False
41,20,RL,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,GasA,Ex,Y,SBrkr,1324,TA,6,Typ,1,Attchd,1965.0,RFn,2,440,TA,TA,Y,0,138,,WD,Abnorml,160000,12.2006,2.0,2412.0,41,41,False
42,20,RL,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,GasA,Gd,Y,SBrkr,1328,TA,5,Typ,2,Attchd,1959.0,RFn,1,308,TA,TA,P,0,104,,WD,Normal,170000,7.2007,2.1,2678.0,48,48,False
43,85,RL,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,GasA,Gd,Y,SBrkr,884,Gd,5,Typ,0,Attchd,1983.0,RFn,2,504,TA,Gd,Y,240,0,,WD,Normal,144000,12.2007,2.0,1724.0,24,24,False
44,20,RL,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,GasA,TA,Y,SBrkr,938,TA,5,Typ,0,Detchd,1977.0,Unf,1,308,TA,TA,Y,145,0,,WD,Normal,130250,7.2008,2.0,1876.0,33,28,False
45,20,RL,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,GasA,Ex,Y,FuseA,1150,TA,6,Typ,0,Attchd,1959.0,RFn,1,300,TA,TA,Y,0,0,,WD,Normal,141000,5.2006,2.0,2300.0,47,47,False
46,120,RL,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,GasA,Ex,Y,SBrkr,1752,Ex,6,Typ,1,Attchd,2005.0,RFn,2,576,TA,TA,Y,196,82,,WD,Normal,319900,2.2010,3.0,3504.0,5,5,True
47,50,RL,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,GasA,Ex,Y,SBrkr,2149,Gd,6,Typ,1,Attchd,2003.0,RFn,2,670,TA,TA,Y,168,43,,WD,Abnorml,239686,8.2009,2.5,3583.0,6,6,False
48,20,FV,11096,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,GasA,Ex,Y,SBrkr,1656,Gd,7,Typ,0,Attchd,2006.0,RFn,3,826,TA,TA,Y,0,146,,WD,Normal,249700,7.2007,2.0,3312.0,1,1,True
49,190,RM,4456,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,GasA,Gd,Y,SBrkr,1452,TA,8,Typ,0,,,,0,0,,,N,0,0,,New,Partial,113000,6.2009,2.0,2188.0,89,1,False
50,20,RL,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,GasA,Ex,Y,SBrkr,955,TA,6,Typ,0,Attchd,1966.0,Unf,1,386,TA,TA,Y,0,0,,WD,Normal,127000,1.2007,2.0,1910.0,41,41,False
51,60,RL,13869,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,GasA,Gd,Y,SBrkr,1470,TA,6,Typ,0,Attchd,1997.0,Fin,2,388,TA,TA,Y,0,75,,WD,Normal,177000,7.2007,2.6,2264.0,10,10,False
52,50,RM,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,816,GasA,TA,Y,SBrkr,1176,TA,6,Typ,1,Detchd,1985.0,Unf,2,528,TA,TA,Y,112,0,,WD,Normal,114500,9.2006,1.0,1632.0,72,56,False
53,90,RM,8472,Grvl,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,GLQ,712,0,GasA,TA,N,SBrkr,816,TA,5,Typ,0,CarPort,1963.0,Unf,2,516,TA,TA,Y,106,0,,WD,Normal,110000,5.2010,2.0,1632.0,47,47,False
54,20,RL,50271,Pave,IR1,Low,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,9,5,Gable,WdShngl,WdShing,Wd Shng,0.0,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,Unf,0,32,GasA,Gd,Y,SBrkr,1842,Gd,5,Typ,1,Attchd,1981.0,Fin,3,894,TA,TA,Y,857,72,,WD,Normal,385000,11.2006,2.5,3684.0,25,19,False
55,80,RL,7134,Pave,Reg,Bnk,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,SLvl,5,5,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,ALQ,384,Unf,0,0,GasA,TA,Y,SBrkr,1360,TA,6,Min1,1,Detchd,1962.0,Unf,2,572,TA,TA,Y,0,50,,WD,Normal,130000,2.2007,1.0,1744.0,52,52,False
56,20,RL,10175,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,HdBoard,Plywood,272.0,TA,TA,CBlock,TA,TA,No,BLQ,490,Unf,0,935,GasA,Gd,Y,SBrkr,1425,TA,7,Typ,1,Attchd,1964.0,RFn,2,576,TA,TA,Y,0,0,,WD,Normal,180500,7.2008,2.0,2850.0,44,44,False
57,160,FV,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,Gable,CompShg,MetalSd,MetalSd,456.0,Gd,TA,PConc,Gd,TA,No,GLQ,649,Unf,0,321,GasA,Ex,Y,SBrkr,1739,Gd,7,Typ,0,Attchd,1999.0,Fin,2,480,TA,TA,Y,115,0,,WD,Abnorml,172500,8.2009,3.5,2709.0,10,9,False
58,60,RL,11645,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,860,GasA,Ex,Y,SBrkr,1720,Gd,7,Typ,0,Attchd,2004.0,RFn,2,565,TA,TA,Y,0,70,,WD,Normal,196500,8.2006,2.5,2580.0,2,2,True
59,60,RL,13682,Pave,IR2,HLS,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,2Story,10,5,Hip,CompShg,VinylSd,VinylSd,1031.0,Ex,TA,PConc,Ex,TA,Gd,Unf,0,Unf,0,1410,GasA,Ex,Y,SBrkr,2945,Gd,10,Typ,1,BuiltIn,2006.0,Fin,3,641,TA,TA,Y,192,0,,New,Partial,438780,10.2006,3.5,4355.0,0,0,True
60,20,RL,7200,Pave,Reg,Bnk,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,632,Unf,0,148,GasA,Ex,Y,SBrkr,780,TA,4,Typ,0,Detchd,1973.0,Unf,1,352,TA,TA,Y,196,0,,WD,Normal,124900,1.2008,1.0,1560.0,36,36,False
